"Austria";"Belgium";"Denmark";"Finland";"France";"Germany";"Italy";"Netherlands";"Norway";"Sweden";"Switzerland";"United Kingdom";"Greece";"Portugal";"Spain";"Australia";"New Zealand";"Canada";"United States";"Argentina";"Brazil";"Chile";"Colombia";"Mexico";"Peru";"Uruguay";"Venezuela";"Ecuador";"India";"Japan";"Sri Lanka"
"12,201";"13,122";"14,466";"11,358";"13,466";"12,684";"11,308";"13,885";"12,930";"14,282";"17,170";"12,115";"8,105";"6,814";"8,599";"13,559";"12,648";"14,902";"16,975";"7,965";"4,470";"4,347";"3,713";"5,244";"4,271";"5,602";"10,929";"3,668";"889";"11,669";"1,546"
"12,767";"13,190";"14,655";"11,355";"13,913";"13,072";"11,542";"14,177";"13,425";"14,004";"17,635";"12,384";"8,255";"7,166";"8,833";"13,546";"11,989";"15,223";"17,567";"8,304";"4,565";"4,700";"3,793";"5,293";"4,157";"5,629";"11,251";"3,797";"937";"12,064";"1,620"
"12,731";"13,554";"14,826";"11,559";"14,240";"13,455";"11,869";"14,424";"13,840";"14,207";"17,662";"12,828";"8,695";"7,340";"9,023";"13,769";"12,034";"15,680";"18,373";"7,807";"4,678";"5,011";"4,042";"5,595";"4,049";"5,888";"11,164";"3,933";"966";"12,585";"1,690"
"13,448";"13,861";"15,313";"12,332";"14,634";"13,993";"12,532";"14,647";"14,411";"14,721";"18,050";"13,167";"8,904";"7,733";"9,068";"14,320";"12,284";"16,170";"18,789";"8,227";"4,890";"5,345";"4,177";"5,968";"4,181";"6,215";"10,920";"4,027";"895";"13,163";"1,766"
"13,759";"14,467";"15,227";"12,949";"14,766";"14,114";"12,927";"14,705";"15,076";"14,937";"18,779";"12,931";"8,971";"8,044";"9,203";"14,412";"12,347";"16,176";"18,577";"8,206";"5,195";"5,680";"4,257";"6,320";"4,263";"6,555";"10,139";"4,109";"938";"13,428";"1,830"
"13,718";"14,279";"15,096";"13,134";"14,840";"14,149";"13,018";"14,525";"15,169";"14,917";"18,956";"12,747";"8,896";"8,114";"9,186";"14,660";"12,884";"16,472";"18,856";"7,607";"4,850";"5,932";"4,255";"6,717";"4,342";"6,873";"9,841";"4,155";"977";"13,754";"1,913"
"13,961";"14,474";"15,563";"13,485";"15,132";"14,040";"13,064";"14,291";"15,145";"15,058";"18,560";"12,955";"8,879";"8,280";"9,293";"14,412";"12,996";"15,779";"18,325";"7,246";"4,763";"5,035";"4,202";"6,514";"4,247";"5,972";"9,356";"4,091";"985";"14,078";"1,977"
"14,394";"14,474";"15,966";"13,767";"15,245";"14,329";"13,209";"14,483";"15,636";"15,315";"18,560";"13,404";"8,866";"8,255";"9,478";"14,239";"13,184";"16,076";"18,920";"7,387";"4,498";"4,810";"4,175";"6,088";"3,594";"5,583";"8,745";"3,871";"1,043";"14,307";"2,050"
"14,439";"14,833";"16,676";"14,107";"15,382";"14,783";"13,634";"14,900";"16,513";"15,908";"19,038";"13,720";"9,067";"8,089";"9,571";"15,062";"13,666";"16,836";"20,123";"7,426";"4,643";"5,011";"4,229";"6,162";"3,676";"5,487";"8,623";"3,928";"1,060";"14,773";"2,125"
"14,752";"14,977";"17,384";"14,522";"15,530";"15,140";"14,010";"15,283";"17,320";"16,189";"19,586";"14,165";"9,316";"8,306";"9,722";"15,638";"13,664";"17,582";"20,717";"6,835";"4,914";"5,030";"4,272";"6,194";"3,666";"5,560";"8,521";"3,995";"1,079";"15,331";"2,186"
"15,081";"15,195";"17,993";"14,819";"15,833";"15,469";"14,408";"15,617";"17,882";"16,505";"19,786";"14,742";"9,440";"8,641";"9,998";"15,757";"13,880";"17,862";"21,236";"7,224";"5,202";"5,227";"4,436";"5,834";"3,946";"6,015";"8,725";"4,016";"1,101";"15,679";"2,263"
"15,313";"15,541";"18,023";"15,382";"16,158";"15,701";"14,868";"15,737";"18,164";"16,949";"19,792";"15,393";"9,375";"9,185";"10,520";"16,293";"13,891";"18,348";"21,788";"7,298";"5,270";"5,480";"4,577";"5,818";"4,192";"6,453";"8,805";"3,682";"1,125";"16,251";"2,252"
"15,754";"16,252";"18,224";"16,088";"16,790";"16,160";"15,485";"16,044";"18,059";"17,232";"20,243";"16,110";"9,784";"9,868";"11,046";"16,752";"13,816";"18,993";"22,499";"7,054";"5,155";"5,780";"4,669";"5,771";"3,766";"6,413";"9,080";"3,971";"1,216";"17,185";"2,279"
"16,360";"16,744";"18,261";"16,946";"17,300";"16,558";"15,997";"16,695";"18,157";"17,524";"20,935";"16,414";"10,111";"10,372";"11,582";"17,194";"13,869";"19,108";"23,059";"6,520";"5,224";"6,283";"4,726";"5,899";"3,237";"6,454";"8,094";"3,888";"1,270";"17,943";"2,307"
"16,895";"17,197";"18,452";"16,866";"17,647";"15,929";"16,313";"17,262";"18,466";"17,609";"21,487";"16,430";"10,015";"10,826";"12,055";"17,173";"13,687";"18,872";"23,201";"6,433";"4,920";"6,401";"4,826";"6,085";"3,008";"6,465";"8,313";"3,903";"1,309";"18,789";"2,424"
"17,263";"17,451";"18,644";"15,768";"17,724";"16,650";"16,563";"17,548";"18,951";"17,276";"21,040";"16,155";"10,204";"11,304";"12,327";"16,743";"13,374";"18,262";"22,833";"6,955";"4,888";"6,784";"4,840";"6,226";"3,028";"6,664";"8,907";"4,061";"1,305";"19,347";"2,519"
"17,409";"17,645";"18,949";"15,136";"17,880";"16,891";"16,634";"17,720";"19,506";"16,969";"20,804";"16,133";"10,201";"11,417";"12,413";"16,989";"13,373";"18,147";"23,285";"7,384";"4,782";"7,483";"4,950";"6,333";"2,953";"7,163";"9,234";"4,074";"1,350";"19,440";"2,599"
"17,339";"17,406";"18,870";"14,943";"17,666";"16,645";"16,441";"17,824";"19,931";"16,524";"20,591";"16,458";"9,982";"11,138";"12,259";"17,478";"14,032";"18,309";"23,640";"7,748";"4,937";"7,869";"5,131";"6,339";"3,030";"7,324";"9,061";"4,010";"1,401";"19,417";"2,740"
"17,670";"17,902";"19,847";"15,424";"17,978";"17,028";"16,762";"18,223";"20,818";"17,066";"20,685";"17,118";"10,136";"11,179";"12,528";"18,146";"14,551";"18,942";"24,313";"8,119";"5,145";"8,182";"5,293";"6,504";"3,351";"7,825";"8,666";"4,109";"1,464";"19,537";"2,852"
"18,096";"18,270";"20,350";"15,977";"18,262";"17,299";"17,217";"18,697";"21,578";"17,646";"20,660";"17,586";"10,321";"11,614";"13,132";"18,530";"14,909";"19,238";"24,637";"7,786";"5,280";"8,910";"5,470";"6,001";"3,573";"7,679";"8,831";"4,059";"1,543";"19,872";"2,971"
"18,512";"18,487";"20,810";"16,497";"18,373";"17,420";"17,378";"19,248";"22,564";"17,901";"20,689";"18,044";"10,543";"12,001";"13,423";"19,075";"15,144";"19,331";"25,263";"8,091";"5,313";"9,427";"5,497";"6,209";"3,599";"8,072";"8,649";"4,077";"1,635";"20,343";"3,047"
"18,918";"19,139";"21,388";"17,472";"18,690";"17,709";"17,676";"19,973";"23,649";"18,375";"21,072";"19,115";"10,902";"12,460";"13,912";"19,612";"15,407";"19,962";"26,074";"8,615";"5,411";"9,906";"5,607";"6,526";"3,783";"8,434";"9,035";"4,115";"1,675";"20,617";"3,205"
"19,613";"19,475";"21,771";"18,307";"19,233";"18,029";"17,909";"20,631";"24,135";"19,137";"21,603";"19,724";"11,250";"13,013";"14,483";"20,378";"15,477";"20,612";"26,893";"8,900";"5,334";"10,088";"5,563";"6,754";"3,700";"8,776";"8,906";"4,097";"1,755";"20,154";"3,321"
"20,268";"20,128";"22,255";"18,981";"19,771";"18,380";"18,141";"21,457";"24,455";"20,013";"21,828";"20,269";"11,616";"13,466";"15,093";"20,971";"16,202";"21,563";"27,870";"8,545";"5,270";"9,884";"5,269";"6,916";"3,680";"8,494";"8,238";"3,809";"1,835";"20,070";"3,421"
"20,962";"20,809";"22,966";"19,951";"20,392";"18,944";"18,761";"22,148";"25,088";"20,871";"22,521";"21,046";"12,111";"13,922";"15,724";"21,378";"16,518";"22,488";"28,702";"8,410";"5,418";"10,199";"5,375";"7,275";"3,737";"8,341";"8,409";"3,911";"1,882";"20,481";"3,579"
"21,094";"20,920";"23,048";"20,360";"20,648";"19,157";"19,062";"22,411";"25,458";"21,096";"22,692";"21,567";"12,592";"14,127";"16,119";"21,662";"16,934";"22,687";"28,726";"7,968";"5,412";"10,421";"5,409";"7,178";"3,695";"8,030";"8,566";"4,038";"1,957";"20,500";"3,489"
"21,407";"21,163";"23,075";"20,683";"20,720";"19,140";"19,100";"22,291";"25,724";"21,586";"22,622";"22,008";"12,998";"14,171";"16,320";"22,237";"17,486";"23,155";"28,977";"7,038";"5,481";"10,533";"5,476";"7,146";"3,831";"7,121";"7,696";"4,112";"1,997";"20,517";"3,588"
"21,555";"21,295";"23,080";"21,053";"20,789";"19,088";"19,007";"22,267";"25,864";"22,050";"22,516";"22,763";"13,742";"13,980";"16,553";"22,666";"17,881";"23,407";"29,459";"7,518";"5,472";"10,837";"5,614";"7,159";"3,937";"7,256";"6,996";"4,166";"2,130";"20,833";"3,757"
"22,080";"21,955";"23,526";"21,879";"21,193";"19,284";"19,211";"22,696";"26,776";"22,943";"22,960";"23,307";"14,313";"14,139";"16,823";"23,322";"18,298";"23,953";"30,200";"7,967";"5,713";"11,485";"5,831";"7,362";"4,084";"8,094";"8,156";"4,434";"2,273";"21,301";"3,917"
"22,583";"22,305";"24,017";"22,479";"21,450";"19,417";"19,284";"23,114";"27,358";"23,627";"23,481";"23,810";"14,611";"14,191";"17,145";"23,765";"18,706";"24,484";"30,842";"8,541";"5,824";"12,080";"6,022";"7,514";"4,313";"8,613";"8,868";"4,588";"2,424";"21,575";"4,126"
"23,388";"22,867";"24,749";"23,434";"21,842";"20,041";"19,630";"23,867";"27,921";"24,602";"24,262";"24,285";"15,392";"14,343";"17,552";"24,098";"18,927";"24,967";"31,358";"9,101";"5,988";"12,648";"6,340";"7,803";"4,596";"8,968";"9,602";"4,718";"2,612";"21,938";"4,397"
"24,235";"23,497";"25,060";"24,651";"22,202";"20,547";"19,842";"24,756";"28,556";"25,377";"25,025";"25,002";"15,827";"14,631";"17,849";"24,912";"19,269";"25,300";"31,655";"9,715";"6,285";"13,176";"6,690";"7,972";"4,950";"9,604";"10,290";"4,739";"2,810";"22,410";"4,651"
"24,565";"23,701";"24,789";"24,694";"22,057";"20,801";"19,460";"25,112";"28,464";"25,181";"25,293";"24,602";"15,778";"14,583";"17,734";"25,218";"18,875";"25,262";"31,251";"9,972";"6,542";"13,479";"6,840";"7,978";"5,376";"10,405";"10,672";"5,005";"2,952";"22,175";"4,882"
"23,623";"23,020";"23,275";"22,562";"21,244";"19,790";"18,279";"24,073";"27,893";"23,878";"24,538";"23,489";"15,244";"14,118";"16,928";"25,256";"18,843";"24,361";"29,899";"9,581";"6,457";"13,210";"6,854";"7,392";"5,365";"10,650";"10,176";"4,948";"3,154";"20,963";"5,011"
"24,096";"23,557";"23,513";"23,290";"21,477";"20,661";"18,520";"24,303";"27,987";"25,306";"25,033";"23,777";"14,691";"14,279";"16,797";"25,584";"18,886";"24,941";"30,491";"10,256";"6,879";"13,883";"7,063";"7,716";"5,774";"11,526";"9,874";"5,050";"3,372";"21,935";"5,360"
