"Austria";"Belgium";"Denmark";"Finland";"France";"Germany";"Italy";"Netherlands";"Norway";"Sweden";"Switzerland";"United Kingdom";"Greece";"Portugal";"Spain";"Australia";"New Zealand";"Canada";"United States";"Argentina";"Brazil";"Chile";"Colombia";"Mexico";"Peru";"Uruguay";"Venezuela";"Ecuador";"India";"Japan";"Sri Lanka"
"2,412";"3,962";"3,992";"1,846";"3,227";"2,796";"2,153";"4,220";"2,739";"3,004";"6,568";"4,548";"1,433";"1,229";"2,177";"4,766";"5,641";"3,861";"5,552";"3,473";"963";"2,768";"1,071";"1,823";"1,226";"2,674";"1,173";"909";"635";"1,696";"1,092"
"2,650";"4,056";"3,826";"1,884";"3,075";"3,078";"2,080";"4,431";"2,443";"2,850";"5,543";"4,439";"1,918";"1,290";"2,212";"4,911";"5,128";"3,357";"5,323";"3,471";"963";"2,370";"1,110";"1,836";"1,257";"2,751";"1,214";"918";"679";"1,860";"1,059"
"2,877";"4,413";"4,166";"2,058";"3,610";"3,331";"2,231";"4,599";"2,678";"3,054";"6,487";"4,637";"1,963";"1,430";"2,284";"5,064";"4,841";"3,793";"5,540";"3,636";"1,009";"2,426";"1,161";"1,850";"1,345";"3,078";"1,241";"927";"701";"1,831";"1,086"
"2,842";"4,533";"4,559";"2,187";"3,754";"2,750";"2,414";"4,635";"2,732";"3,151";"6,711";"4,760";"1,988";"1,473";"2,290";"5,192";"5,144";"3,976";"6,164";"3,898";"1,046";"2,885";"1,211";"1,884";"1,415";"3,170";"1,420";"937";"671";"1,809";"1,066"
"3,163";"4,638";"4,528";"2,224";"4,179";"3,199";"2,457";"4,895";"2,715";"3,366";"7,226";"4,921";"2,057";"1,401";"2,331";"5,417";"5,143";"3,977";"6,233";"4,055";"1,024";"3,062";"1,255";"1,825";"1,524";"3,397";"1,630";"946";"697";"1,836";"1,128"
"3,367";"4,666";"4,378";"2,328";"4,166";"3,532";"2,602";"5,031";"2,863";"3,443";"7,361";"5,144";"2,140";"1,446";"2,451";"5,553";"5,292";"4,340";"6,282";"3,919";"1,007";"3,152";"1,255";"1,908";"1,540";"3,188";"2,081";"956";"698";"1,885";"1,187"
"3,413";"4,784";"4,598";"2,392";"4,249";"3,605";"2,600";"5,358";"2,889";"3,611";"7,497";"4,936";"2,180";"1,419";"2,417";"5,573";"4,905";"4,497";"6,602";"3,994";"1,008";"2,850";"1,340";"1,991";"1,670";"3,398";"2,487";"965";"713";"1,872";"1,266"
"3,505";"4,923";"4,658";"2,557";"4,154";"3,941";"2,531";"5,504";"2,986";"3,728";"7,962";"5,315";"2,220";"1,648";"2,600";"5,544";"4,683";"4,847";"6,576";"4,156";"1,060";"2,760";"1,424";"1,875";"1,674";"3,797";"2,761";"994";"706";"1,870";"1,261"
"3,657";"5,139";"4,785";"2,707";"4,431";"4,090";"2,666";"5,720";"3,106";"3,835";"8,353";"5,357";"2,234";"1,470";"2,584";"5,452";"5,141";"5,172";"6,569";"4,291";"1,158";"3,332";"1,490";"1,857";"1,754";"3,906";"3,057";"1,024";"706";"1,992";"1,257"
"3,699";"5,054";"5,075";"2,717";"4,710";"4,051";"2,778";"5,689";"3,387";"4,063";"8,636";"5,503";"2,342";"1,610";"2,739";"5,263";"5,262";"5,065";"6,899";"4,367";"1,137";"3,455";"1,505";"1,757";"1,908";"3,847";"3,426";"1,055";"728";"2,026";"1,336"
